Company,Sub_segment,HQ_Region,CDP Score,CDP_Score_Numeric,SBTi_Near_Term_Status,SBTi_Near_Term_Numeric,SBTi_Net_Zero_Status,Has_Net_Zero_Target,SBTi_Net_Zero_Year,Remake_2021_Score_out_of_150,Overall_Disclosure_Score_pct,Carbon_Emissions_Score_pct,Energy_Renewables_Score_pct,Supply_Chain_Score_pct,Social_Workers_Score_pct,Governance_Strategy_Score_pct,Materials_Products_Score_pct
Puma,Sports/Active,Europe,A,7.0,Targets set,3,None,0,,,67.9,63.6,78.3,73.0,66.7,33.3,50
H&M,Fast Fashion,Europe,A,7.0,Not Found,0,None,0,,39.0,66.7,63.6,47.8,67.6,60.0,83.3,75
Hanesbrands,Sports/Active,North America,A,7.0,Targets set,3,None,0,,,51.3,45.5,60.9,56.8,40.0,50.0,50
lululemon athletica,Sports/Active,North America,B,5.0,Targets set,3,Targets set,1,2050,-3.0,51.3,63.6,34.8,48.6,33.3,33.3,100
Adidas AG,Sports/Active,Europe,A,7.0,Targets set,3,Targets set,1,2050,25.0,50.0,54.5,30.4,48.6,40.0,33.3,100
Asics Corporation,Sports/Active,Asia,A,7.0,Targets set,3,Commitment removed,0,,,46.2,54.5,47.8,51.4,13.3,50.0,75
Ralph Lauren Corporation,Luxury,North America,C,3.0,Targets set,3,Commitment removed,0,,,46.2,63.6,26.1,43.2,26.7,83.3,75
Gildan Activewear Inc.,Sports/Active,North America,A-,6.0,Targets set,3,None,0,,,44.9,45.5,39.1,51.4,33.3,66.7,50
Superdry plc,Fast Fashion,Europe,B,5.0,Targets set,3,Targets set,1,FY2040,,44.9,63.6,26.1,29.7,53.3,50.0,100
Levi Strauss & Co.,Mid-Market,North America,C,3.0,Targets set,3,Targets set,1,FY2050,20.0,39.7,54.5,21.7,40.5,13.3,50.0,75
Nike Inc.,Sports/Active,North America,Not Disclosed,,Targets set,3,None,0,,25.0,39.7,45.5,34.8,40.5,20.0,33.3,75
JD Sports Fashion plc,Sports/Active,Europe,A,7.0,Targets set,3,None,0,,,37.2,72.7,17.4,27.0,33.3,66.7,50
Gap inc.,Mid-Market,North America,Not Disclosed,,Targets set,3,Targets set,1,FY2050,6.0,35.9,27.3,26.1,45.9,13.3,33.3,50
Hermes International,Luxury,Europe,A,7.0,Not Found,0,None,0,,,35.9,72.7,52.2,35.1,13.3,66.7,0
Hugo Boss AG,Luxury,Europe,C,3.0,Targets set,3,None,0,,,35.9,36.4,17.4,35.1,20.0,33.3,75
Esprit Holdings Limited,Fast Fashion,Asia,Not Disclosed,,Not Found,0,None,0,,,35.9,9.1,8.7,45.9,26.7,33.3,75
Prada,Luxury,Europe,A-,6.0,Targets set,3,Commitment removed,0,,,34.6,36.4,30.4,40.5,6.7,50.0,75
