Company,CDP Score,Sub_segment,Commitment on State-Imposed Forced Labour in Supply Chain (Renewable Energy),Commitment to Degrowth,Decarbonisation Commitment,Decarbonisation Progress,Discloses 24/7 Hourly Matching of Electricity Consumption (Supply Chain),Discloses Affected Stakeholder Engagement on Climate Strategy,Discloses Annual Renewable Energy Investment,Discloses Approach to Living Wage,Discloses Carbon Emissions,Discloses Carbon Pricing,Discloses Climate-Related Risk Process,"Discloses Commitment to Freedom of Association, Right to Organize and Collective Bargaining in the Supply Chain","Discloses Content of Scope 1, 2 and 3 Emissions",Discloses Details on Climate-Related Risks,Discloses Efforts to Compensate Workers Impacted by Climate Crisis,Discloses Efforts to Upskill Supply Chain Workers,Discloses Energy Efficiency Investments (Supply Chain),Discloses Evidence of Renewable Energy Advocacy (Supply Chain),Discloses Living Wage Estimates Used for Benchmarking,Discloses Outcome of Renewable Energy Advocacy (Supply Chain),Discloses Percentage of Workers Paid By Piece Rate,Discloses Percentage of Workers Receiving Wage Payments Digitally,Discloses Progress on Electrify Manufacturing Processes Target,Discloses Progress on Fossil Fuel Phase-Out Target,Discloses Progress on Renewable Energy Target (Supply Chain),Discloses Progress on Sustainable Materials Strategy,Discloses Progress toward the payment of a Living Wage to workers in the supply chain,Discloses Proportion of Workers Paid Minimum Wage,Discloses Quantity of Products Produced,Discloses Scale of Renewable Energy Support,Discloses Sourced Fibre Breakdown,Discloses Strategy to Achieving Living Wage,Discloses Supplier Engagement in Climate Adaptation Strategy,Discloses Supplier Engagement on Climate Target Setting,Discloses Support for Renewable Electricity,Discloses address of manufacturing facilities,Discloses address of processing facilities,Discloses address of raw material facilities,Discloses manufacturing facilities (specific location),Discloses name of parent company for each manufacturing facility,Discloses name of parent company for each processing facility,Discloses name of parent company of each raw material facility,Discloses number or % of Workers covered by Collective Bargaining Agreements,"Discloses number or % of supplier facilities that have independent, democratically elected trade unions",Discloses processing facilities (specific location),Discloses raw material facilities,"Discloses the specific raw material fiber, products or services (raw material facilities)",Discloses type of products or services (manufacturing facilities),Discloses type of products or services (processing facilities),Electricity Consumption Breakdown (Supply Chain),Electricity Consumption Matched to Renewable Energy Generation (Supply Chain),Electrify Manufacturing Processes Target,Energy Consumption Breakdown (Own Operations),Energy Consumption Breakdown (Supply Chain),Energy Consumption Breakdown by Country (Supply Chain),Energy Consumption Breakdown by Process (Supply Chain),Energy Procurement Type Breakdown (Own Operations),Energy Procurement Type Breakdown (Supply Chain),Executive Pay Linked to Carbon Reduction,Fossil Fuel Phase-Out Target,Just Transition Commitment,List of Manufacturing facilities contributed to Open Supply Hub,List of Processing facilities contributed to Open Supply Hub,List of raw material facilities contributed to Open Supply Hub,Percentage of Executive Pay Linked to Carbon Reduction,Publicly available list of manufacturing facilities in open data format,Publicly available list of processing facilities in open data format,Publicly available list of raw material facilities in open data format,Publishes Percentage of Workers Paid Above Minimum Wage,Publishes Percentage or Number of Workers Earning a Living Wage,RE100 Commitment,Renewable Electricity Target (Supply Chain),Renewable Energy Definition,Renewable Energy Target (Supply Chain),Reports on Minimum Wage Paid for Daily / Piece Rate Workers,Science Based Targets,Scope 3 Emissions Breakdown,Supplier Incentives to Improve Environmental Impacts,Sustainable Materials Strategy,Overall_Disclosure_Score_pct,Carbon_Emissions_Score_pct,Energy_Renewables_Score_pct,Supply_Chain_Score_pct,Social_Workers_Score_pct,Governance_Strategy_Score_pct,Materials_Products_Score_pct
Puma,A,Sports/Active,0,0,1,1,0,0,1,1,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,67.9,63.6,78.3,73,66.7,33.3,50
H&M,A,Fast Fashion,0,0,1,1,0,0,1,1,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,66.7,63.6,47.8,67.6,60,83.3,75
Hanesbrands,A,Sports/Active,0,0,1,1,0,0,0,1,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,51.3,45.5,60.9,56.8,40,50,50
lululemon athletica,B,Sports/Active,0,0,1,1,0,0,1,1,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,51.3,63.6,34.8,48.6,33.3,33.3,100
Adidas AG,A,Sports/Active,0,0,1,1,0,0,1,1,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,50,54.5,30.4,48.6,40,33.3,100
Asics Corporation,A,Sports/Active,0,0,1,1,0,0,0,0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,46.2,54.5,47.8,51.4,13.3,50,75
Ralph Lauren Corporation,C,Luxury,0,0,1,1,0,1,0,1,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,46.2,63.6,26.1,43.2,26.7,83.3,75
Gildan Activewear Inc.,A-,Sports/Active,0,0,1,1,0,0,0,1,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,44.9,45.5,39.1,51.4,33.3,66.7,50
Superdry plc,B,Fast Fashion,0,1,1,1,0,1,0,0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,1,44.9,63.6,26.1,29.7,53.3,50,100
Levi Strauss & Co.,C,Mid-Market,0,0,1,1,0,0,1,0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,39.7,54.5,21.7,40.5,13.3,50,75
